"sample","compounds","TRset","ncarbon_umole_cm2","tCO_umole_cm2","naCO_umole_cm2","cCOH_umole_cm2","COOH_umole_cm2","aCH_umole_cm2","aCOH_umole_cm2","Ester_umole_cm2","Ketone_umole_cm2","AmmNH_umole_cm2"
"01174","Malonic Acid","test",0.130674160685385,0.08711610712359,0,0.08711610712359,0.08711610712359,0.08711610712359,0,0,0,0
"01175","Malonic Acid","calibration",0.122507025642548,0.0816713504283654,0,0.0816713504283654,0.0816713504283654,0.0816713504283654,0,0,0,0
"01176","Malonic Acid","calibration",0.179676970942404,0.119784647294936,0,0.119784647294936,0.119784647294936,0.119784647294936,0,0,0,0
"01182","Malonic Acid","test",0.0571699452998559,0.0381132968665706,0,0.0381132968665706,0.0381132968665706,0.0381132968665706,0,0,0,0
"01184","Malonic Acid","calibration",0.106172755556875,0.0707818370379169,0,0.0707818370379169,0.0707818370379169,0.0707818370379169,0,0,0,0
"01189","Malonic Acid","calibration",0.073504215385529,0.0490028102570194,0,0.0490028102570194,0.0490028102570194,0.0490028102570194,0,0,0,0
"01190","Malonic Acid","test",0.106172755556875,0.0707818370379169,0,0.0707818370379169,0.0707818370379169,0.0707818370379169,0,0,0,0
"01191","Malonic Acid","calibration",0.163342700856731,0.108895133904487,0,0.108895133904487,0.108895133904487,0.108895133904487,0,0,0,0
"01242","Arachidyl Dodecanoate","calibration",0.124115259029493,0.00387860184467187,0.00387860184467164,0,0,0.248230518058985,0,0.00387860184467164,0,0
"01243","Arachidyl Dodecanoate","test",0.337939141990482,0.0105605981872025,0.0105605981872026,0,0,0.675878283980967,0,0.0105605981872026,0,0
"01244","Arachidyl Dodecanoate","calibration",0.865507546827342,0.0270471108383546,0.0270471108383544,0,0,1.73101509365468,0,0.0270471108383544,0,0
"01245","Arachidyl Dodecanoate","calibration",1.6295233755118,0.0509226054847437,0.0509226054847437,0,0,3.2590467510236,0,0.0509226054847437,0,0
"01246","Arachidyl Dodecanoate","test",0.0633144928974325,0.00197857790304463,0.00197857790304477,0,0,0.126628985794865,0,0.00197857790304477,0,0
"01247","Arachidyl Dodecanoate","calibration",0.142339778076935,0.00444811806490427,0.00444811806490421,0,0,0.28467955615387,0,0.00444811806490421,0,0
"01248","Arachidyl Dodecanoate","calibration",0.247759194290503,0.00774247482157798,0.00774247482157824,0,0,0.495518388581007,0,0.00774247482157824,0,0
"01249","Arachidyl Dodecanoate","test",0.247287870522155,0.00772774595381752,0.00772774595381735,0,0,0.494575741044311,0,0.00772774595381735,0,0
"01250","Arachidyl Dodecanoate","calibration",0.222307710793268,0.00694711596228951,0.00694711596228963,0,0,0.444615421586535,0,0.00694711596228963,0,0
"01251","Arachidyl Dodecanoate","calibration",0.256085914200087,0.00800268481875303,0.00800268481875272,0,0,0.512171828400175,0,0.00800268481875272,0,0
"01252","Arachidyl Dodecanoate","test",0.244774143756916,0.00764919199240371,0.00764919199240365,0,0,0.489548287513832,0,0.00764919199240365,0,0
"01253","Arachidyl Dodecanoate","calibration",0.347051401514205,0.0108453562973187,0.0108453562973189,0,0,0.69410280302841,0,0.0108453562973189,0,0
"01254","Arachidyl Dodecanoate","calibration",0.333854335997105,0.0104329479999093,0.0104329479999095,0,0,0.667708671994209,0,0.0104329479999095,0,0
"01255","Arachidyl Dodecanoate","test",0.325056292319038,0.0101580091349697,0.0101580091349699,0,0,0.650112584638076,0,0.0101580091349699,0,0
"01256","Arachidyl Dodecanoate","calibration",0.365747244330128,0.0114296013853168,0.0114296013853165,0,0,0.731494488660256,0,0.0114296013853165,0,0
"01257","Arachidyl Dodecanoate","calibration",0.463154156479767,0.0144735673899927,0.0144735673899928,0,0,0.926308312959535,0,0.0144735673899928,0,0
"01258","Arachidyl Dodecanoate","test",0.44618650081481,0.0139433281504631,0.0139433281504628,0,0,0.89237300162962,0,0.0139433281504628,0,0
"01259","Arachidyl Dodecanoate","calibration",0.482635538909697,0.0150823605909279,0.015082360590928,0,0,0.96527107781939,0,0.015082360590928,0,0
"01260","Arachidyl Dodecanoate","calibration",0.52411203053479,0.0163785009542121,0.0163785009542122,0,0,1.04822406106958,0,0.0163785009542122,0,0
"01261","Arachidyl Dodecanoate","test",0.608321877167595,0.0190100586614874,0.0190100586614874,0,0,1.21664375433519,0,0.0190100586614874,0,0
"01262","Arachidyl Dodecanoate","calibration",0.521598303769552,0.0162999469927982,0.0162999469927984,0,0,1.0431966075391,0,0.0162999469927984,0,0
"01263","Arachidyl Dodecanoate","calibration",0.509658101635204,0.0159268156760999,0.0159268156761001,0,0,1.01931620327041,0,0.0159268156761001,0,0
"01264","Arachidyl Dodecanoate","test",0.579256911445466,0.0181017784826708,0.0181017784826708,0,0,1.15851382289093,0,0.0181017784826708,0,0
"01265","Arachidyl Dodecanoate","calibration",0.749090576016123,0.023409080500504,0.0234090805005038,0,0,1.49818115203224,0,0.0234090805005038,0,0
"01266","Arachidyl Dodecanoate","calibration",0.706985652699721,0.022093301646866,0.0220933016468662,0,0,1.41397130539944,0,0.0220933016468662,0,0
"01274","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,0.0746079171489045
"01275","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.512536381027287
"01276","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,1.02307178343377
"01277","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,1.62851074328646
"01278","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.223537897358255
"01279","Ammonium sulfate","calibration",0,0,0,0,0,0,0,0,0,0.5385491030984
"01280","Ammonium sulfate","test",0,0,0,0,0,0,0,0,0,0.582570632757189
