,Parameter,RMSECV,RMSEC,RMSEP
0,1e-09,2.176314037921359,0.0008443539030868041,6.750868316892473
1,1.389495494373136e-09,2.176186213775312,0.0011360074771161663,6.7791020750894315
2,1.9306977288832536e-09,2.1760086333971893,0.0015541625258293263,6.833341813349981
3,2.6826957952797275e-09,2.175761945562162,0.002106032041525887,6.881453935307362
4,3.727593720314938e-09,2.1754192885084924,0.0029563069882567773,6.958080392569524
5,5.179474679231202e-09,2.1749433895425727,0.004068834290727928,7.01766418607143
6,7.1968567300115284e-09,2.174282558313154,0.005583150162500662,7.092304061268413
7,1e-08,2.1733651648596255,0.00765832242526762,7.17717709469142
8,1.389495494373136e-08,2.1720920552319067,0.010475935111568847,7.3110613066091075
9,1.9306977288832496e-08,2.1703261856017795,0.014271113466386482,7.489533665452215
10,2.682695795279727e-08,2.1678785575219868,0.01973944568759691,7.65004004375733
11,3.7275937203149377e-08,2.1644921792425587,0.026959409507017845,7.831663961905757
12,5.1794746792312124e-08,2.159823851534609,0.03709908827109953,8.088885024160435
13,7.196856730011513e-08,2.153189251385994,0.05098072192176335,8.366893278083863
14,1e-07,2.1439197516290385,0.06853232730471427,8.634253203060513
15,1.389495494373136e-07,2.131707305576269,0.09232496234206419,8.858323536716266
16,1.9306977288832497e-07,2.115771302106684,0.1218069502309057,9.023226111883563
17,2.6826957952797275e-07,2.088256275110152,0.1585008441007534,8.981536969356249
18,3.727593720314938e-07,2.05712554441032,0.19347972721012877,9.011604269570853
19,5.179474679231202e-07,2.0194362248488424,0.22536525556282802,8.941807691746996
20,7.196856730011514e-07,1.9570102338404793,0.25490912200933374,8.897774905847482
21,1e-06,1.8431582529839723,0.2829318014065486,8.828146954012741
22,1.389495494373136e-06,1.7136390024540389,0.3128998786560259,8.795999681240398
23,1.9306977288832498e-06,1.4930143640562434,0.33537559062283057,8.647132932184164
24,2.6826957952797274e-06,1.261877172147962,0.34969945146563136,8.514526286668074
25,3.727593720314938e-06,0.9819712419642694,0.35966184103940996,8.772393382458754
26,5.179474679231202e-06,0.7047724855178448,0.3686905415089089,9.06842619756738
27,7.196856730011514e-06,0.6837347149945696,0.37903936979536557,9.12356051630576
28,1e-05,0.6596603583060922,0.38813648179419813,9.147227817342486
29,1.3894954943731361e-05,0.6629993224239406,0.3994642904942092,9.249852617967175
30,1.9306977288832496e-05,0.6843003671201562,0.41650030589423565,9.29422039475848
31,2.682695795279722e-05,0.7335157950545891,0.4407874209976761,8.999938640511491
32,3.727593720314938e-05,0.7150211654340961,0.4628472599110771,8.45763081543898
33,5.1794746792312125e-05,0.7087127708225449,0.48172557659077586,8.544158575561276
34,7.196856730011514e-05,0.6622906203861011,0.5036438965214467,8.93447011182558
35,0.0001,0.6661441013253512,0.5281071840138382,8.96939787822521
36,0.0001389495494373136,0.6948225220459638,0.5653040665920277,8.496813315829744
37,0.00019306977288832496,0.7476626724511711,0.6226825209591141,8.263764604806898
38,0.0002682695795279722,0.8233151446830693,0.6723028497318956,7.606841204758603
39,0.0003727593720314938,0.7874191141732887,0.7092572690132243,7.482888800181054
40,0.0005179474679231202,0.8087042524237056,0.7629846469652053,6.944232894719774
41,0.0007196856730011514,0.8215111305455943,0.7855500309394877,6.506462258927503
42,0.001,0.8630493174029235,0.808240325707333,6.26474304372769
43,0.001389495494373136,0.926885189000125,0.8344094249156185,6.275873977073332
44,0.0019306977288832496,0.9452144771809403,0.853694340514877,6.27984430910709
45,0.002682695795279722,0.9561047917369766,0.8756110553479228,6.288841386432695
46,0.003727593720314938,0.9705527060023764,0.8943789024530744,6.36972571762488
47,0.005179474679231202,0.9924771159444162,0.9286898264177402,6.494204110453836
48,0.007196856730011514,1.0082656736155435,0.9472010803867833,6.500852133241781
49,0.01,1.0340084271692833,0.9736306265976218,6.494875607244974
