,Parameter,RMSECV,RMSEC,RMSEP
0,2.0,5.632532215340431,5.596171228972638,6.532115284729781
1,3.0,5.116071258644192,5.065542423901373,6.259357454302766
2,4.0,4.786439603324105,4.758300470834006,5.987682970788255
3,5.0,4.258965112288474,4.220050042683493,5.468942137088588
4,6.0,4.21203100196809,4.011496978130164,5.3102224309398105
5,7.0,3.9414367504347205,3.808141490253258,5.149461249820316
6,8.0,3.6391190407211704,3.4467519836467684,4.837925225334408
7,9.0,3.425630458389729,3.167201484390743,4.5799256372334805
8,10.0,3.3494855592001236,3.0625984615912327,4.480033083243815
9,11.0,3.269684399609126,2.9739849188606167,4.350353119128063
10,12.0,3.187687834965747,2.8849330674799063,4.2140002335813165
11,13.0,3.193438145676612,2.845800025643571,4.163546891375482
12,14.0,3.1675636163260172,2.747853834674342,4.061437400445999
13,15.0,3.162321155530551,2.67802073405671,4.004249587654089
14,16.0,3.1196771925350233,2.601302606209264,3.9515995186302884
15,17.0,3.0954425879046523,2.5198635492089334,3.776534242310961
16,18.0,3.0533142363801873,2.4546762012702223,3.792416086438279
17,19.0,3.016914607894228,2.38562186577322,3.7821359156204286
18,20.0,2.9935993282915034,2.3293285643048636,3.71181732875978
19,21.0,2.86232188900975,2.290899146830069,3.7085850627825225
20,22.0,2.8499669673211776,2.26633885890144,3.740929982537866
21,23.0,2.8805198244370076,2.205566575875826,3.6319152286951977
22,24.0,2.785745968955376,2.160592723195852,3.592019691749011
23,25.0,2.788423925225924,2.1073399934828068,3.5402610537919226
24,26.0,2.8182316854442093,2.060222009793108,3.5262261961725647
25,27.0,2.8038480975230926,2.026724473054466,3.4477702430818153
26,28.0,2.8211115838557106,2.009813735500963,3.438902884779568
27,29.0,2.8318391789783925,1.9753194515329104,3.484987094315672
28,30.0,2.807103703286876,1.9483355197098078,3.4835784935741114
29,31.0,2.8021640724912666,1.923359197991343,3.4312611693053006
30,32.0,2.7584835231593474,1.8799534896571153,3.435557153500153
31,33.0,2.764068131296638,1.856889045329494,3.417033796965695
32,34.0,2.735036332664895,1.8231417630744642,3.4829225110984483
33,35.0,2.743121839773995,1.7930047688013486,3.5308254169901288
34,36.0,2.757552352364539,1.7660804947917392,3.6035935927308254
35,37.0,2.759823547230284,1.7541974538006528,3.574521181540605
36,38.0,2.7554118177464133,1.731189121563907,3.49041331580521
37,39.0,2.752494688618529,1.720619308364287,3.459126797184992
38,40.0,2.6778346886194195,1.6929686420794883,3.4442391320635037
39,41.0,2.679975570511767,1.6572668535231756,3.373008452232484
40,42.0,2.66219357567341,1.6395503155135338,3.388159729974319
41,43.0,2.6735006408034065,1.6194257491334667,3.4018298190546936
42,44.0,2.642267134181135,1.598982568188248,3.4179504889306758
43,45.0,2.6937202654339245,1.581398843058534,3.401518330028245
44,46.0,2.7238393171419952,1.5631238538815928,3.353707842035979
45,47.0,2.7578615069547774,1.5466115743924465,3.319881485918671
46,48.0,2.7731828622212604,1.5247803339871318,3.3247898989415954
47,49.0,2.739227746749814,1.5017069110925154,3.2669356057018635
